Description:	my blislab 

Size: 511	Gflop/s: 10.3
Size: 512	Gflop/s: 10.4
Size: 513	Gflop/s: 9.61
Size: 543	Gflop/s: 10.6
Size: 544	Gflop/s: 10.7
Size: 545	Gflop/s: 9.62
Size: 575	Gflop/s: 10.6
Size: 576	Gflop/s: 10.6
Size: 577	Gflop/s: 9.69
Size: 607	Gflop/s: 10.6
Size: 608	Gflop/s: 10.4
Size: 609	Gflop/s: 9.82
Size: 639	Gflop/s: 10.5
Size: 640	Gflop/s: 9.96
Size: 641	Gflop/s: 9.63
Size: 671	Gflop/s: 10.7
Size: 672	Gflop/s: 11.1
Size: 673	Gflop/s: 10
Size: 703	Gflop/s: 10.4
Size: 704	Gflop/s: 10.5
Size: 705	Gflop/s: 9.84
Size: 735	Gflop/s: 10.3
Size: 736	Gflop/s: 10.6
Size: 737	Gflop/s: 10
Size: 767	Gflop/s: 10.4
Size: 768	Gflop/s: 10.7
Size: 769	Gflop/s: 10.4
Size: 799	Gflop/s: 10.6
Size: 800	Gflop/s: 10.7
Size: 801	Gflop/s: 9.6
Size: 831	Gflop/s: 10.8
Size: 832	Gflop/s: 10.5
Size: 833	Gflop/s: 10.2
Size: 863	Gflop/s: 10.7
Size: 864	Gflop/s: 10.7
Size: 865	Gflop/s: 9.79
Size: 895	Gflop/s: 10.3
Size: 896	Gflop/s: 10.9
Size: 897	Gflop/s: 10.1
Size: 927	Gflop/s: 10.9
Size: 928	Gflop/s: 10.6
Size: 929	Gflop/s: 10.3
Size: 959	Gflop/s: 10.6
Size: 960	Gflop/s: 10.6
Size: 961	Gflop/s: 11.5
Size: 991	Gflop/s: 10.9
Size: 992	Gflop/s: 10.9
Size: 993	Gflop/s: 10.2
Size: 1023	Gflop/s: 10.2
Size: 1024	Gflop/s: 9.99
Size: 1025	Gflop/s: 9.04
GeoMean  = 10.35
